id,username,text,text_clean,label
297,zayn muhd,"Pemerintah Indonesia gagal total dalam menangani kasus covid ini, keluarkan aturan yang gak jelas dan gak tepat sasarn",pemerintah indonesia gagal total tangan kasus covid keluar atur tidak jelas tidak tepat sasarn,negatif
298,Wulan Ayu Sekar Arum,semoga RAMADHAN TANPA CORONA,moga ramadhan tanpa corona,netral
299,monica windiar,kayaknya PSBB gak ada gunanya,kayak psbb tidak ada guna,negatif
300,Limitlessrabbit23,kebijakan selalu ada pro & kontra.. negara2 lain pun kewalahan.. bukan saatnya sibuk ribut2 kebijakan.. saatnya turun kelapangan.. banyak rakyat yg butuh bantuan ,bijak selalu ada pro kontra negara kewalahan bukan sibuk ribut bijak turun lapang banyak rakyat butuh bantu,negatif
301,sam haji,Pentingnya pengawasan dan terus melakukan audit investigasi sebagai bentuk antisipasi kebocoran keuangan negara .,penting awas laku audit investigasi bagai bentuk antisipasi bocor uang negara,positif
302,David Waras,Pengawasan dan sistem nya gimana utk dana tsb bu agar tepat sasaran dan tdk ada penyelewengan oleh oknum2. ,awas sistem gimana dana sebut bu tepat sasar tidak ada seleweng oknum,positif
303,David Waras,selama ini pemerintah mengeluarkan dana bantuan sekian Triliun tp knp masih banyak yg merasa tdk terbantu. percuma aturan dibuat tapi pemerintah kurang memperhatikan ,lama pemerintah keluar dana bantu sekian triliun masih banyak rasa tidak bantu percuma atur buat pemerintah kurang perhati,negatif
304,Sultan Abussalam Arif,sepertinya akan HUTANG LAGI ...,seperti hutang,negatif
305,Odha lolowuri,Semoga amanah dgn anggarannya,moga amanah anggar,positif
306,beternak ayam broiler,"Mudah mudahan gak ada yang korupsi dana bantuan covid ini ya Allah ,indonesia kuat",mudah mudah tidak ada korupsi dana bantu covid indonesia kuat,positif
307,Funx Goaran14,"anggaran 1 Triliun tapi Di tasikmalaya nakes pake jas hujan menanggulangi pasien kena virus corona, Malu lah sama negara lain..",anggar triliun tasikmalaya tenaga sehat pakai jas hujan tanggulang pasien kena virus corona malu sama negara,negatif
308,Antastp Channel,Kurang itu buk seharusnya proyek infrastruktur untuk kementrian PU dan proyek APBN dan APBD dikurangi dan dana itu digelontorkan untuk biaya penanggulangan vurus karona sehingga daerah daerah yang rawan bisa di lockdown karna hanya 1 T saya rasa jauh dari kurang,kurang buk harus proyek infrastruktur tri kerja umum proyek anggar dapat belanja negara apbd rang dana beri biaya tanggulang virus corona sehingga daerah daerah rawan bisa lockdown hanya triliun rasa jauh kurang,negatif
309,bunga lili,semoga dana nya nggak dikorupsi....,moga dana tidak korupsi,positif
310,sihnanto rahtu,pemindahan ibukota lebih penting,pindah ibukota lebih penting,netral
311,jamaludin bangun priyadi,Kalo semuanya tepat guna uang segitu cukup. Mari dukung negara lawan virus Corona. ,semua tepat guna uang begitu cukup dukung negara lawan virus corona,positif
312,cing cangklung,moga2 gk da yg mau mainin nih dana,moga tidak ada mau mainin dana,positif
313,Falen Yovi,"Luar biasa.... wabah corona kek gini pun bisa kalian korupsi, miris",luar biasa wabah corona seperti gin bisa korupsi miris,negatif
314,Abang Modar krn Jihader,Ngutang lagi bu sama komunis... ayo... ngutang.. jgn repot...,hutang bu sama komunis hutang jangan repot,negatif
315,Sinta Irwanti,Perang sama virus corona  seluruh dunia optimis manusia pasti menang,perang sama virus corona seluruh dunia optimis manusia pasti menang,netral
316,Mh M,"Dah telat tuh, harusnya di lockdown dari awal, sekarang selamatkan diri masing- masing",sudah telat harus lockdown awal sekarang selamat diri masing masing,negatif
317,Mobility Prime,nilai rupiahnya hancur.. uang segitu mah buat beli permen aja biar rakyat senang... dah tau mata uang kita kelas teri suruh tanding sama mata uang kelas kakap.,nilai rupiah hancur uang begitu buat beli permen biar rakyat senang sudah tahu mata uang kelas bawah suruh tanding sama mata uang kelas atas,negatif
318,Eleven,"Masker saja ga ada dimana2
Di jakarta",masker tidak ada jakarta,negatif
319,Sovia Santoso,mantap... Rencana nya ...semoga pelaksanaan Realnya berjalan dgn baik... mantep,mantap rencana moga laksana real jalan baik mantap,positif
320,Akita Akbar,"percuma pemerintah Buat anggaran 1 Triliun, tapi akhirnya di korupsi juga",percuma pemerintah buat anggar triliun akhir korupsi,negatif
321,Snopy Gabbie,moga- moga ngga kena korupsi,moga moga tidak kena korupsi,positif
322,Park Gum Bee,Korea aja anggaran corona hampir  300 Triliun.,korea anggar corona hampir triliun,netral
323,sandung lamur,Negara sebesar ini masa anggaran untuk penanganan krisis-nya cuma 1 Triliun bu?,negara besar masa anggar tangan krisis cuma triliun bu,negatif
324,Nasruddin Anto,Anggaran diprioritaskan mengenai pencegahan dan mengenai pola pola hidup sehat dan mungkin sampai ke desa desa kelak,anggar prioritas kena cegah kena pola pola hidup sehat mungkin sampai desa desa kelak,positif
325,Indria Happy,Pemerintah harus dibantu rakyatnya. Tidak panik adalah salah satu cara menjaga stabilitas ekonomi negara.,pemerintah harus bantu rakyat tidak panik salah satu cara jaga stabilitas ekonomi negara,positif
326,imron bojonegoro,Bisa ditebak bila corona meluas yg rentan kena adalah petugas medis itu sendiri.,bisa tebak bila corona luas rentan kena tugas medis sendiri,netral
327,GIBRAN channel,"Tenang saudara ku menengah kebawah, semoga kita bisa lewati ini bersama",tenang saudara tengah bawah moga bisa lewat sama,netral
328,Angga Teguh Hardani,Lagi nunggu ada ga berita crazy rich Indonesia nyumbang,nunggu ada tidak berita orang kaya raya indonesia sumbang,netral
329,Susmiati Susmiati,"terima kasih Bu Sri udah perhati kan RAKYAT nya , Semoga corona virus segera teratasi Amin",terima kasih bu sri udah perhati rakyat moga corona virus segera atas,netral
330,RicoSeptianVEVO,Lockdown please,lockdown tolong,positif
331,Ummu Ilham,"Akhirnya... Alhamdulillah, ada anggaran penanganan covid-19. ",akhir ada anggar tangan covid,positif
332,Rahma Wicaksono,Dikit amat anggaran dari pemerintah... korea aja ratusan trilyun,sedikit sekali anggar pemerintah korea ratus triliun,negatif
333,Diaz Virdani,"Jangan kayak kemarin ya dibuat utk influencer, disaat ada corona",jangan buat artis saat ada corona,netral
334,Muhammad Muklisin,gak akan NEW NORMAL kalau pemerintahnya gak tegas gini,tidak kembali normal pemerintah tidak tegas gin,negatif
335,Mus Bikhin,"Perkembangan kasus korupsi dana covid kenapa gak di urus, karena sudah hal biasa di indonesia",kembang kasus korupsi dana covid tidak urus sudah biasa indonesia,negatif
336,Rafa Wahyu Ardhana,dari cara pemerintah atasi covid Keliatan covid ini memang untuk bisnis buat pemerintah sama rumah sakit !!,cara pemerintah atas covid lihat covid bisnis buat pemerintah sama rumah sakit,negatif
337,Rafa Wahyu Ardhana,"Covid gk jelas dibahas ,sedangkan penyakit lain gak dibahas ! 
",covid tidak jelas bahas sedang sakit tidak bahas,negatif
338,Sri Budiarti,"kita hrus patui protokol kesehatan dari peraturan pemerintah.
Harus kasian pemerintah sdh maksimal. kita hrs bantu semampu kita. ",harus patuh protokol sehat atur pemerintah harus kasihan pemerintah sudah maksimal harus bantu mampu,positif
339,Putu Rangga,Kalau bulan juli 2021 masih covid 19 ngga,bulan juli masih covid tidak,netral
340,wildan nun mareta,Lebih baik pesawat tujuan luar negeri di nonaktifkan sementara biar tidak menyebar dan dikasih video cara menjaga lingkungan bumi juga. Jangan! cuma cara menjaga protokol kesehatan ,lebih baik pesawat tuju luar negeri nonaktif sementara biar tidak sebar beri video cara jaga lingkung bumi jangan cuma cara jaga protokol sehat,negatif
341,Sukiran Lim,"Hanya sekedar share aja untuk mencegah dan menanggulangin Covid 19. Percaya boleh, tidak pun gak apa - apa.
Kuncinya satu aja : ""Air Hangat"".
1. Mandilah dengan air sehangat mungkin pagi dan sore hari ( atau minimal 1x sehari). Miniman air hangat 20 Ltr.
2. Mimumlah air sehangat mungkin (kali pertama sebanya mungkin) dilanjutin rutin sesering mungkin. (hindari minuman dingin) hingga ""mengeluarkan keringat hangat"".

Semoga bermanfaat.",hanya dar bagi cegah tanggulang covid percaya boleh tidak tidak kunci satu air hangat mandi air hangat mungkin pagi sore hari minimal hari minum air hangat ltr minum air hangat mungkin sekali pertama banyak mungkin dilanjutin rutin sering mungkin hindar minum dingin hingga keluar keringat hangat moga manfaat,netral
342,adii prmn,Bosen amat covid mulu,bosan sekali covid,netral
343,Sunarto Sp,"Halah ngomong apa sih pak, banyak omong doang tapi tindakan nihil",halah bicara pak banyak omong tindak nihil,negatif
344,tino123 tinocs,"Bukan dokter, dan sok pintar sok tau, menyakit yg gk kelihat, ini mudik dilarang wna cina bebas masuk di indonesia, rakyat kecil di siksa terus karna virus yg gk kelihatan ini negara anehh",bukan dokter lagak pintar lagak tahu sakit tidak lihat mudik larang warga negara asing cina bebas masuk indonesia rakyat kecil siksa virus tidak lihat negara aneh,negatif
345,tino123 tinocs,"Sampai kiamat pun korona gk bakalan hilang, media dan beritalah yang membawa virus korona, media dan berita mah memang lh kejam",sampai kiamat corona tidak bakal hilang media berita bawa virus corona media berita kejam,negatif
346,Raden Bagus,Bodo amat... Bikin aja pandemi 10 thn.,tidak peduli sekali bikin pandemi tahun,negatif
347,setgold@gmail.com,Masyarakat kita msh byk yg TDK percaya dgn wabah covid19 ini. Terutama umat Islam non NU dan Muhamnadya. Kelompok ini yg dgn nyata nyata tdk mengindahkan seruan pemerintah .,masyarakat masih banyak tidak percaya wabah covid utama umat islam tidak nahdlatul ulama muhammadiyah kelompok nyata nyata tidak indah seru pemerintah,negatif
348,Azhar Azhar,"iya pak klw kami rakyat kecil insyaallah tetap mematuhi,",pak rakyat kecil tetap patuh,positif
349,Azhar Azhar,"bagaimana dgn pemerintah membuka pintu masuk ny TKA china yg berdampak Awal asal mula nya covid ini, berarti ini murni salah pemerintah",bagaimana pemerintah buka pintu masuk tenaga kerja asing cina dampak awal asal mula covid arti murni salah pemerintah,negatif
350,Zul kifli,"lebih baik banyak berdoa, minta pertolongan kepada Tuhan agar corona segera berakhir",lebih baik banyak doa minta tolong kepada tuhan corona segera akhir,netral
351,stevano itong,nularnya virus ini lewat media apa aja sih,tular virus lewat media,netral
352,riyan verbi,apasih pemerintah kerjanya ga pernah jelas,apasih pemerintah kerja tidak pernah jelas,negatif
353,Tita Sutanti,"Terimakasih metro tv atas infonya, semoga  ujian ini cepat  hilang dari negara kita,",terima kasih metro televisi atas info moga uji cepat hilang negara,netral
354,Versi Kang Kebon,Mari kita patuhi prokontol kesehatan.. ..,patuh prokontol sehat,positif
355,Pitrus Lioesman,"Berdoa dan berbuat sesuatu : patuhi PROKES dan ikuti Petunjuk Pemerintah, cobalah belajar ",doa buat sesuatu patuh protokol sehat ikut tunjuk pemerintah coba ajar,positif
356,Bhuana Bali,"Utama kan kejujuran,, jgn sampai masalah covid ini berlarut",utama jujur jangan sampai masalah covid larut,positif
357,Awis Busman,Hapus kan kuroptor dan korupsi tidak pandang bulu.... 0k,hapus koruptor korupsi tidak pandang bulu,positif
358,LABKITA by Chies,Semoga kasus pandemi akan terus turun tentunya dg dukungan dan kepatuhan masyarakat. Tentunya dengan kebijakan dari pihak2 penguasa/ pemerintah,moga kasus pandemi turun tentu dukung patuh masyarakat tentu bijak pihak kuasa pemerintah,positif
359,Gusti Eka Putra,BACOD doang pemerintah,bacot pemerintah,negatif
360,TV Family Sadar ALLAH,"Lembutkan hati kita, Smga doa"" kita dn doa,"" para sahabt yg hdir di sini, smga di jabah sm allah, dn di bukakn pintu rizki yg deras sederas air hujan yg turun. Dn smga di permudhkn sgla  urusan di jauhkn dri balak, seht dn smga allah mengampuni dosa"" kita smua baik di sngaja/ tak di sngaja. Tuk Rakyat, smga seht, trus lncar rizki nya dn sllu lindungan allah swt, slm sntun dn hormt sllu ",lembut hati moga doa doa para sahabat hadir sini moga jabah sama buka pintu rezeki deras deras air hujan turun moga mudah segala urus jauh sakit sehat moga ampun dosa semua baik sengaja tidak sengaja rakyat moga sehat lancar rezeki selalu lindung salam santun hormat selalu,netral
361,Paridaa Nurhasanah,"bingung, pemerintah indo kok sepertinya gak ada distribusinya buat bantu masyarakat indonesia",bingung pemerintah indonesia seperti tidak ada distribusi buat bantu masyarakat indonesia,negatif
362,Presiden Thanos,"Wna yang datang ke indonesia harusnya di stop kan dulu, bukan dibiarkan masuk gini",warga negara asing datang indonesia harus henti dulu bukan biar masuk gin,negatif
363,ekichandra,Sebenernya pemerintah tes ga sih apa cuma menunggu sampai orang tersebut sakit lalu dinyatakan covid,benar pemerintah tes tidak cuma tunggu sampai orang sebut sakit lalu nyata covid,negatif
364,Riana Tobing,"Kemarin saya pergi k pasar dan lihat masih banyak warga yang tidak pakai masker, sedih lihatnya, nanti sakit yang disalahkan malah pemerintahnya",pergi pasar lihat masih banyak warga tidak pakai masker sedih lihat nanti sakit salah malah pemerintah,positif
365,Paoji Gin,"strategi pemerintah padahal sudah bagus, rakyatnya aja yang kurang patuh",strategi pemerintah sudah bagus rakyat kurang patuh,positif
366,nan non,"Jangan kuatir, karena ketidakmampuannya pada akhirnya indonesia akan terpaksa berdamai dengan covid sama halnya seperti indonesia berdamai dengan Tuberculosis atau TBC, Malaria, Demam berdarah, Flu burung, swineflu, Virus Middle East Respiratory Syndrom, Stunting etc. Wekekek",jangan khawatir tidak mampu akhir indonesia paksa damai covid sama seperti indonesia damai tuberculosis tbc malaria demam darah flu burung swineflu virus middle east respiratory syndrom stunting,netral
367,Channel Tema26,Semoga masalah Corona cepat terselesaikan... Aamiin,moga masalah corona cepat selesai,netral
368,Ade Ruyat,Bantuan covid tidak  adil tidak merata seharusnya nya bantuan covid gan tebangpilih seperti hukum di negara kita. semua kena dampak nya tapi kenapa pemerintah  tidak ratakan .,bantu covid tidak adil tidak rata harus bantu covid gan pilih kasih seperti hukum negara semua kena dampak pemerintah tidak rata,negatif
369,Salon Reni salon,numpang tanya apakah ada pengurangan bantuan dana pemerintah karena Masarakat yang menerima bantuan tidak merata,numpang tanya ada kurang bantu dana pemerintah masyarakat terima bantu tidak rata,netral
370,Jen Juri Jimi,Saya ga pernah dapet sampe sekarang bantuan.,tidak pernah dapat sampai sekarang bantu,negatif
371,Jen Juri Jimi,Yg salah bukan presiden nya. Tpi di bawah nya yg ga bener. Kaya nya klo koruptor di hukum mati kaya nya negara kita damai...,salah bukan presiden bawah tidak benar kaya koruptor hukum mati kaya negara damai,netral
372,Mardiana Barru,luar biasa banyak bantuan tapi sampai hari ini sy blum dpt sepeser pun padahal yg Lain dapat...,luar biasa banyak bantu sampai hari belum dapat peser dapat,negatif
373,karto lewo,Hilangkan aja bantuan bantuan kasian yang miskin gk dapat juga seperti saya tapi alhamdulilah masih bisa bekerja di kasih rezeki dari allah. Nanti klo di kasih bantuan terus jadi malas berusaha ,hilang bantu bantu kasihan miskin tidak dapat seperti masih bisa kerja kasih rezeki nanti kasih bantu jadi malas usaha,negatif
374,Anna Freddy,sekarang Sy sekeluarga positif Corona kenapa Sy tdk dpt bantuan langsung dr pemerintah .,sekarang keluarga positif corona tidak dapat bantu langsung pemerintah,negatif
375,Jun Manik,Judul nya harusnya di tambah.. bantuan pemerintah untuk kepala desa dan aparat desanya itu baru betul..,judul harus tambah bantu pemerintah kepala desa aparat desa baru betul,negatif
376,hendrayati 06,ya... kita juga pernah  ajukan bantuan umkm... tapi sampai sekarang tidak ada ,pernah aju bantu umkm sampai sekarang tidak ada,negatif
377,hendrayati 06,"selama covid  kami tidak pernah dapat bantuan apapun  , padahal suami kerja nya  buruh serabutan  sementara  saya hanya bekerja sbagai  honir daerah yg gaji nya hanya  1  juta lebih.",lama covid tidak pernah dapat bantu apa suami kerja buruh serabutan sementara hanya kerja bagai honor daerah gaji hanya juta lebih,negatif
378,Sri Ujiyanti,Pemerintah sdh glontorkan dana. Trilyunan. Yg kaya yg miskin dapat. Jng salahkan jokowi. ,pemerintah sudah salur dana triliun kaya miskin dapat jangan salah jokowi,positif
379,Fariz Saputra,"Gak percaya sama pemerintah, keluarga q sendiri terkena covid dan meninggal.. disuruh isolasi  tapi gak diberi bantuan sama sekali",tidak percaya sama pemerintah keluarga sendiri kena covid tinggal suruh isolasi tidak beri bantu sama sekali,negatif
380,Fariz Saputra,Tetapi sekarang aturan dirubah2 tidak jelas tanpa adanya memikirkan warga atau masyarakat yang keluarganya meninggal karena covid ..!!,sekarang atur ubah tidak jelas tanpa ada pikir warga masyarakat keluarga tinggal covid,negatif
381,Dina nisrina,Bantuan bantuan sya mah gk pernah dapat bantuan apa,bantu bantu tidak pernah dapat bantu,negatif
382,Ely Kk,"Memang bantuanya nggak merata masa yg benar2, membutuhkan malah nggak dapat bantuan apa2 yg udah kecukupan bantuan malah dapat terus gimana ini nasib yg nggak pernah dapat bantuan apa,2 tolong pemerintah pikirkan",bantu tidak rata masa benar butuh malah tidak dapat bantu udah cukup bantu malah dapat gimana nasib tidak pernah dapat bantu tolong pemerintah pikir,negatif
383,RAKYAT KECIL opicall,SAYA GAK PERNAH DAPAT...  HOAX DAN GAK TEPAT SASARAN,tidak pernah dapat berita bohong tidak tepat sasar,negatif
384,Teguh Ari Bowo Ari Bowo,Bantuan dari pemerintah terima kasih.. ,bantu pemerintah terima kasih,positif
385,Teguh Ari Bowo Ari Bowo,Tapi kita sebagai rakyat banyak yg tidak menerima bantuanya.. tolong dibenahi wilayah kami.,bagai rakyat banyak tidak terima bantu tolong benah wilayah,negatif
386,Nganti undi Purnomo,"Aku kok gak tahu ada bantuan pak presiden, pemerintah di daerah saya sepertinya menutupi dan korupsi",tidak tahu ada bantu pak presiden pemerintah daerah seperti tutup korupsi,negatif
387,Febri Novan,"Bantuan dari pemerintah itu di salah gunakan yg menerima itu bukan lah orang miskin tetapi yg mampu yg miskin cuma di pakai nama nya aja, karna bantuan itu jatuh ya ke tangan orang mampu orang miskin itu cuma jadi korban ke bohongan orang",bantu pemerintah salah guna terima bukan orang miskin mampu miskin cuma pakai nama bantu jatuh tangan orang mampu orang miskin cuma jadi korban bohong orang,negatif
388,AA Agrospace,"Usulan kalo ngasih bantuan lebih baik dalam bentuk tunai .. Karena rawan penyelewengan dan manipulasi,  ",usul beri bantu lebih baik bentuk tunai rawan seleweng manipulasi,positif
389,Febri Yanti,Jdi yg blum dapat bantuan bisa mengajukan ke desa setempat atau rt rw setempat ...,jadi belum dapat bantu bisa aju desa tempat rt rw tempat,netral
390,Luluk Halimah,Msa orang mampu dapt bantuan trus orang miskin mlah gk dpt.. Bagaimana ini tanggapan pemerintah,masa orang mampu dapat bantu orang miskin malah tidak dapat bagaimana tanggap pemerintah,negatif
391,Aulia Ayu putri,"Tidak satupun saya mendapatkan bantuan dari pemerintah, padahal kami sangat membutuhkannya, bayi saya perempuan berumur 4 bulan, dia menyusu susu formula, 1 kotak isi 1000gram harga 90ribu habis seminggu kadang nggak sampe, dikali 1 bulan dimana kami mencarikan duitnya , malahan orang yang berduit dapat, kami yang sangat membutuhkan tidak. Negara apa ini tidak adil!!! ",tidak satu dapat bantu pemerintah butuh bayi perempuan umur bulan susu susu formula kotak isi gram harga ribu habis minggu kadang tidak sampai kali bulan cari duit malah orang duit dapat butuh tidak negara tidak adil,negatif
392,Dea ayu,"bantuan yg selama ini di umbar umbar ke media dari pemerintah , tidak sampai pada  rakyat yg betul betul membutuhkan. ! ",bantu lama umbar umbar media pemerintah tidak sampai rakyat betul betul butuh,negatif
393,Sultan Sukamajuselatan,Assalamualaikum maaf pak saya seorang janda miskin dan sakit sakitan belum pernah mendapatkan bantuan apapun sampai sekarang terima kasih,pak orang janda miskin sakit sakit belum pernah dapat bantu apa sampai sekarang terima kasih,negatif
394,nathanie nata,aduh bu bu... saya pnya anak kecil ya nggak dapat bantuan apapun..,aduh bu bu punya anak kecil tidak dapat bantu apa,negatif
395,Normal People,"Indonesia ni kalau ada pemimpin yang tepat jadi pemerintah, boleh jadi negara terkaya di asean, sumber bumi di orang ni banyak�",indonesia ada pimpin tepat jadi pemerintah boleh jadi negara kaya asean sumber bumi orang banyak,negatif
396,Normal People,"sudah terlalu banyak Korups dimana2, yang jadi mangsa rakyat sendiri.",sudah terlalu banyak korupsi jadi mangsa rakyat sendiri,negatif
397,Abd ghofur Ghofur,Mana ada bantuan gak pernah nyampe ke kk kami.,mana ada bantu tidak pernah sampai kartu keluarga,negatif
398,Erwin Gutawa,Bantuannya gak nyampe2 ke masyarakat kecil,bantu tidak sampai masyarakat kecil,negatif
399,ded game,"tolong di cek dulu.... duitnya lari kemana, saya gk nerima",tolong cek dulu duit lari mana tidak nerima,negatif
400,ded game,trus kemana duit... Saya gak dapat bohong semua,mana uang tidak dapat bohong semua,negatif
401,putri lim,dana desa ini mau nya di perhatikan bener,dana desa mau perhati benar,netral
402,Maman Chiloenk,"Untuk pemerintah pusat tolong untuk bisa turun meninjau ke lokasi langsung, karena banyak oknum yang rawan korupsi",pemerintah pusat tolong bisa turun tinjau lokasi langsung banyak oknum rawan korupsi,positif
403,Maman Chiloenk,Alhamdulillah semenjak covid usaha saya bangkrut tpi ga dapat bantuan apa pun,semenjak covid usaha bangkrut tidak dapat bantu,negatif
404,delfi Gustiani,Bapak persiden sdh mengelurkn dana  bantuan sngt  besar .semoga digunakan sebaik mungkin,bapak presiden sudah keluar dana bantu besar moga guna baik mungkin,positif
405,delfi Gustiani,"dana bantuan itu blm mengalir keluarga aku .aku kerja sbg buruh, hidup diperantaun. di masa pandemi covid 19 mungkin semua org mengalami kesulitan. buat berdagang aja susah. sebenarnya dana bantuan itu nyangkut dimana",dana bantu belum alir keluarga kerja bagai buruh hidup diperantaun masa pandemi covid mungkin semua orang alami sulit buat dagang susah benar dana bantu sangkut,negatif
406,Bu Adi,"Bantuan2 itu buat orang2 yg pintar2 saja. Coba pikir kartu prakerja   itu yg dpt orang yg punya hp dn rata byk bantuan gk tepat sasaran jd orang 1 bisa dapat semua bantuan. Yg bener dan metata menurut saya orang desa bhodo ini lbh baik semua bhn pokok di subsidi itu br adil msk gk punya wacana yg lbh baik ,isinya cm hamburkan uang rakyak aja!",bantu buat orang pintar coba pikir kartu prakerja dapat orang punya ponsel rata banyak bantu tidak tepat sasar jadi orang bisa dapat semua bantu benar rata turut orang desa bodoh lebih baik semua bahan pokok subsidi biar adil masuk tidak punya wacana lebih baik isi cuma hambur uang rakyat,negatif
407,Butiran Channel,"Masih banyak dana bantuan corona yang belum tepat sasaran ataupun masih salah sasaran bahkan ada pula yang belum mendapatkan nya sama sekali, selain warga dki itu sendiri ada beberapa kalangan dari para perantau yang ada di dki jakarta. Diantara mereka yang masih nurut sama koloni untuk tetap bertahan di jakarta",masih banyak dana bantu corona belum tepat sasar masih salah sasar ada pula belum dapat sama sekali warga jakarta sendiri ada beberapa kalang para rantau ada jakarta jakarta antara masih nurut sama koloni tetap tahan jakarta,negatif
408,Aa Sopandi,"Kepada, pemerintah pusat, mohon pak awasi seperti PKH di desa - desa terima kasih semoga negara' kita maju makmur kuat dan sejahtera Aamiin",kepada pemerintah pusat mohon pak awas seperti program keluarga harap desa desa terima kasih moga negara maju makmur kuat sejahtera,positif
409,grandong roban," bantuan omong kosong, saya di isolasi aja ga di kasih apa apa",bantu omong kosong isolasi tidak kasih,negatif
410,Siti Hana,pemerintah bohong.. cuman koar koar di youtube aja.. saya kecewa sama pak jokowi,pemerintah bohong cuma koar koar youtube kecewa sama pak jokowi,negatif
411,Febri Ragiel,"pak kami sudah penganguran karna di phk perusahan swasta,, kenapa lah sampai skrng gak ada bantuan kepada orang2 yg pengaguran kerna covid 19 kami kluar pada tanggal 25 februari 2020 sampai tanggal 12 agustus 2020,,skrng susah cari kerja karna covid 19 selama sekali gak ada bantuan yg turun sama kami,,,, kami sana sini cari mkn aja susah lihat anak istri gak pernah megang uang,,,,",pak sudah penganguran putus hubung kerja usah swasta sampai sekarang tidak ada bantu kepada orang anggur covid keluar tanggal februari sampai tanggal agustus sekarang susah cari kerja covid lama sekali tidak ada bantu turun sama sana sini cari makan susah lihat anak istri tidak pernah pegang uang,negatif
412,Rian Rinaldi,kemana dana bantuan tersebut.? ya sudah pasti di korupsi lah,mana dana bantu sebut sudah pasti korupsi,negatif
413,Rasti Viland,"Minta tolong di desa saya tidak merata pembagiannya..... desa wonorjo, banyuputih situbondo... tolong di tindak lanjut",minta tolong desa tidak rata bagi desa wonorjo banyuputih situbondo tolong tindak lanjut,negatif
414,GOD Rosetta,STEAM WALLET KOK GAK DI GRATISIN !!????,digital dompet tidak gratisin,netral
415,Ade Komara,Pembodohan,bodoh,negatif
416,Bule Lena,semoga bantuannya tepat sasaran ke masyarakat yang benar benar membutuhkan bantuan,moga bantu tepat sasar masyarakat benarbenar butuh bantu,positif
417,imron watnum,Sampainya bantuan ke tangan masyarakat kenyataannya tidak senilai yg disebutkan. Masyarakat selalu di bodohi pemerintah.,sampai bantu tangan masyarakat nyata tidak nila sebut masyarakat selalu tipu pemerintah,negatif
418,Jiman Kodara,Saya boro2 kebagian bantuan. bentuk bantuan apapun gak pernah dapat,jangan bagi bantu bentuk bantu apa tidak pernah dapat,negatif
419,Iyons nikolas Sesto,"Saya tidak menyalahkan pemerintah, tapi Saya minta di tlusuri aja per kecamatan atau per desa, biar ada keadilan..",tidak salah pemerintah minta telusur camat desa biar ada adil,positif
420,Iyons nikolas Sesto,"Mana ada kenaikan.... 
   Yang dapat PKH ya PKH doang.. 
 Gak ada yang namanya bantuan COvid, apa lagi kenaikan.. ",mana ada naik dapat program keluarga harap program keluarga harap tidak ada nama bantu covid naik,negatif
421,Rany Haerunisa,"Tim lapangan seharusnya diawasi dengan ketat biar tetap sasaran, diatasnya sudah sesuai SOP jangan sampe dilapangan ada permainan",tim lapang harus awas ketat biar tetap sasar atas sudah sesuai atur jangan sampai lapang ada main,positif
422,Riri Azahri Riri,Kenapa gak d pos saja mengambil uang semua. yg dr lurah blum keluar karena yang dapat Cuma keluarga lurah aja ,tidak pos ambil uang semua lurah belum keluar dapat cuma keluarga lurah,negatif
423,Bertha Ponde,Bantuan milih milih. Yg benar2 butuh nggk dapat kasian mereka cumn mendengar dan melihat klw bantuan itu ada tapi ggk sampai ke tanganx mereka kecewa. Di mana para pendata penduduk. mereka nggk melihat masyarakat kecil,bantu pilih pilih benar butuh tidak dapat kasihan cuma dengar lihat bantu ada tidak sampai tangan kecewa mana para data duduk tidak lihat masyarakat kecil,negatif
424,GINUK PARODY CHANNEL,Ini cm prank dari pemerintah,cuma tipu pemerintah,negatif
425,ka teno,Sy berharap pemerintah turun tangan agar tau yg sebenarnya.. bagaimana dan kepada siapa bantuan itu d terima..,harap pemerintah turun tangan tahu benar bagaimana kepada siapa bantu terima,negatif
426,ka teno,sy tau suara sy tidak akan sampai d hadapan pemerintah namun sy berharap ada pihak2 terkait yg mau menolong agar pemerinth tau semua ini.. bagai teriris sembilu kalau mendengar rintihan fakir miskin yg tidak mendapat bantuan covid 19.. sy tidak mengatakan Kepala desa kami tidak adil.. tp itulah yg terjadi..,tahu suara tidak sampai hadap pemerintah harap ada pihak kait mau tolong pemerintah tahu semua bagaimana iris sembilu dengar rintih fakir miskin tidak dapat bantu covid tidak kata kepala desa tidak adil itu jadi,negatif
427,berkebun Kingazis,Saya nggk dapat dan tidak ada pendataan kerja saya hanya ngojek,tidak dapat tidak ada data kerja hanya ojek,negatif
428,Robi darwis,"kalau misalkan ga kebagian semua mendingan jangan di bagi  karna kasihan yg ga dapat bantuan,, jadi separuh separuh tapi harus diem. ",misal tidak bagi semua mending jangan bagi kasihan tidak dapat bantu jadi paruh paruh harus diam,negatif
429,Vivo Y15,Mohon maaf sama pemerintah tingkat kabupaten tolong tinjau didesa desa masalah bantuan kenapa yg kaya dapat yang miskin lewat ..aneh,mohon sama pemerintah tingkat kabupaten tolong tinjau desa desa masalah bantu kaya dapat miskin lewat aneh,negatif
